"cytoRiskIntermediate"	"cytoRiskPoor"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"CPNE8|144402_calculated"	2.61547346849221	2.65812110605169	5.34286166561125	176.730950005427	7.66087107117255e-43	1.53225082294522e-38
"HOXA7|3204_calculated"	2.86874353060969	2.37228425363121	2.32701491542511	164.912089213843	4.27951329064561e-41	4.27972726631014e-37
"HOXA6|3203_calculated"	2.94658330122451	2.28415486627908	4.23757368210685	162.31929005604	1.06066798676868e-40	7.0714734677868e-37
"HOXA3|3200_calculated"	2.31380230619889	1.68655916656451	2.33932778282802	153.451955447636	2.5422831498874e-39	1.27120513202245e-35
"HOXA4|3201_calculated"	2.12793001169489	1.45353234327735	5.30014697927868	141.53311922321	2.19606523541433e-37	8.78470015470439e-34
"HOXA5|3202_calculated"	3.3628321969843	2.64877079402938	4.26908531523929	130.190598215198	1.90600277473204e-35	6.35366024956925e-32
"HOXA9|3205_calculated"	3.96174810146063	3.76891720037724	7.84575578374607	121.610309986169	6.52611680308232e-34	1.86469803112071e-30
"HOXA10|3206_calculated"	2.83483763020169	2.47488998217693	2.28072399915772	114.236425708082	1.52913925440294e-32	3.82303927841414e-29
"HOXB5|3215_calculated"	1.91362670331045	0.646040873293334	7.09775757144945	109.116543487421	1.4629011977075e-31	3.25105409503863e-28
"HOXB6|3216_calculated"	1.80109155491175	0.420334457607123	3.91153676122972	91.0953656231991	6.79469048940711e-28	1.35900604478632e-24
"NKX2-3|159296_calculated"	1.71017280545655	0.428827667480507	4.81134952021545	85.4960052903996	1.11423153920078e-26	2.0259768195959e-23
"HOXA2|3199_calculated"	1.03979746321355	0.66818435774809	5.56366733202965	84.7865855555178	1.59836615666717e-26	2.66407679162501e-23
"LPO|4025_calculated"	-2.94580955466907	-3.04015121095505	3.65194825510382	75.1511353010549	2.50092706394752e-24	3.84777247738571e-21
"FGFR1|2260_calculated"	-2.25117783861444	-1.75729565490841	6.27180822559815	71.5135459989549	1.82136120268381e-23	2.60207467249135e-20
"PDE4DIP|9659_calculated"	0.908640946559438	1.07154498660565	6.28783934238501	70.3040097771826	3.56021885998259e-23	4.74719582790078e-20
"RMND5B|64777_calculated"	1.12566941068236	0.955709502855968	4.40318327286594	68.1429551223447	1.19432003830977e-22	1.49297469288961e-19
"HOXA1|3198_calculated"	0.66123433781946	0.410964873667241	2.14272861201933	67.7342489964094	1.50435135197535e-22	1.769913611227e-19
"PRRT4|401399_calculated"	-2.33279153047763	-1.90031504487147	5.13957338217613	63.4650170335863	1.73902947248309e-21	1.93235158217413e-18
"TSPAN32|10077_calculated"	1.83698454547375	1.93571707292734	4.91393756228262	60.2319103397571	1.16252556378563e-20	1.22377230533034e-17
"LASS4|79603_calculated"	-1.99479514403258	-0.911203434188667	2.11535225934013	58.6152891784826	3.05306343825519e-20	3.05321609142711e-17
"GRASP|160622_calculated"	-2.05095728277745	-1.83556341235514	2.69708218964917	57.6554469194675	5.44376532608959e-20	5.1847976327199e-17
"CYP7B1|9420_calculated"	1.17579684231061	1.30929496691129	5.10184167055653	57.3446682951362	6.57015912885565e-20	5.97317057892009e-17
"RECK|8434_calculated"	1.00710357947015	1.41737712194572	3.90236951023708	57.2167127124265	7.09994414774925e-20	6.17417316952751e-17
"PRDM16|63976_calculated"	1.21348000701449	0.907682743847771	6.81043831939539	56.2956927602959	1.24323707259581e-19	1.03608269537454e-16
"PDGFD|80310_calculated"	1.08443016511593	0.534095028250921	5.48035524473213	54.2223010480656	4.44624586141813e-19	3.55717453896896e-16
"CHIC1|53344_calculated"	0.760152444296182	0.95492006030275	5.80057612411751	54.1248208739096	4.72292843275973e-19	3.6332035224472e-16
"CCL23|6368_calculated"	1.96813071357113	0.936034660506977	6.65407397853756	53.1573249271185	8.61794530669065e-19	6.38398237330073e-16
"SDPR|8436_calculated"	1.47513283278581	2.33960484964753	2.34749009887809	51.7108763967943	2.13428691211558e-18	1.52456687604371e-15
"LOC100271722|100271722_calculated"	1.49483120615838	0.769068835957414	5.18333233683653	51.6034872303401	2.28378772828207e-18	1.57510477080585e-15
"NTNG2|84628_calculated"	-2.72904667979387	-2.43486875786129	6.22563504676013	51.055895301414	3.22802998643864e-18	2.15212759195864e-15
"OCLN|4950|1of2_calculated"	1.25603909887621	0.764124465825101	4.1839418161414	49.9662807833375	6.45267270185426e-18	4.1632227970899e-15
"TJP2|9414_calculated"	1.23154947884223	1.14148352875942	2.11453148108019	49.6020428291656	8.14369986925929e-18	5.0762990346669e-15
"AIFM2|84883_calculated"	0.583357981858846	0.347085466588422	6.38025289670797	49.5581909040544	8.37547463346871e-18	5.0762990346669e-15
"CCDC102A|92922_calculated"	0.836462494813167	0.959806964381718	5.20379899722061	49.3673202911957	9.46461451996449e-18	5.56769867687676e-15
"LAT2|7462_calculated"	1.78902401899363	1.43816615827146	2.12339417642212	48.8540571771349	1.31595525565964e-17	7.52012030527099e-15
"CALR|811_calculated"	-1.33124771980744	-1.48212225138259	4.5759755204307	47.6701806197257	2.82784144734904e-17	1.57110157745634e-14
"EVPL|2125_calculated"	-1.82002989309575	-0.984385755906923	6.51537510396824	46.4668125011831	6.19612474761604e-17	3.34942408316401e-14
"ESYT1|23344_calculated"	-0.778944263392121	-0.662877973824439	5.42998098560246	46.1639511147459	7.55679870973099e-17	3.97746134192972e-14
"GALNT12|79695_calculated"	0.697323185073043	0.975944150903454	2.1272611525259	44.9572639744248	1.67415519751871e-16	8.58584053989018e-14
"KRT17|3872_calculated"	-1.71228920720185	-1.99451536151326	6.86613347924931	44.747302845107	1.92408596081902e-16	9.62091082558532e-14
"C11orf21|29125_calculated"	1.5234876164302	1.39861145599415	3.26802071895373	44.4464282409693	2.34955509236207e-16	1.14618174152034e-13
"C2orf65|130951_calculated"	-1.08128648655324	-0.743704904673922	5.64785201162882	44.3457583577686	2.51222822976476e-16	1.19635897198869e-13
"IQCE|23288_calculated"	0.697840344207808	0.304890333822132	6.56629505384212	43.3020291334603	5.0442520543816e-16	2.34628105441131e-13
"TMEM38B|55151_calculated"	1.07146788722696	1.09060040339274	4.74316803947578	42.9546293844787	6.36934749829138e-16	2.88430098614453e-13
"C10orf140|387640_calculated"	0.95061175205128	0.430348194433191	4.54499603300849	42.9268682532742	6.48935275118762e-16	2.88430098614453e-13
"MPV17L|255027_calculated"	0.738700697572484	1.02374008307706	2.25633615547447	42.79150556147	7.10808844420403e-16	3.09050792069282e-13
"ZNF498|221785_calculated"	-0.2828253570812	-0.559938366485407	4.77169095124485	42.7596178240934	7.26233049710326e-16	3.09050792069282e-13
"FAM45A|404636_calculated"	-0.950821592024106	-1.35543488062867	5.1904810716418	42.4938312396951	8.68708199499804e-16	3.61979847879075e-13
"C22orf26|55267_calculated"	0.651149205033975	0.348879249594567	2.14709149808627	42.2072108344728	1.05425985177636e-15	4.30331659089367e-13
"MANF|7873_calculated"	-1.07154249582908	-1.22225895559508	2.74547905704994	41.5436512683463	1.65310271060588e-15	6.61274146296562e-13
"FLJ42875|440556_calculated"	0.918676473502614	0.399108036328208	5.95978328118341	41.4826632369744	1.72307774194822e-15	6.75750547386399e-13
"SLC28A3|64078_calculated"	-1.72395344566691	-1.7676584644598	2.1475616954002	41.3369424857261	1.90265144338427e-15	7.31825606137092e-13
"CDK18|5129_calculated"	1.13385662622592	1.23512111520715	8.15501379203153	41.2726191683081	1.98783115689151e-15	7.50162471112963e-13
"PHYHD1|254295_calculated"	-0.954329817629729	-0.792570428611928	2.78539388223336	41.0717480041524	2.27948932843493e-15	8.44297519593095e-13
"ITGB6|3694_calculated"	-0.273071267255487	-0.330330023724793	2.11445877703386	40.6475929169678	3.04573549833225e-15	1.10759555822079e-12
"SLC40A1|30061_calculated"	2.1071730056101	2.29669085043851	5.15839482096018	40.1435598565847	4.30316685176407e-15	1.53692214646666e-12
"GPR153|387509_calculated"	-1.41198274258309	-1.46151717514017	2.61208388687467	39.9901205570488	4.78187253786513e-15	1.67793390578667e-12
"PBX3|5090_calculated"	2.20969375014909	0.959267545172081	2.17872930682508	39.8384470869184	5.3080446204256e-15	1.83045173195056e-12
"HGF|3082_calculated"	-2.64570944126685	-2.75254489901474	2.63262893078566	39.7131433333547	5.78668099886245e-15	1.94042195613616e-12
"SYTL4|94121_calculated"	0.663534567695504	1.102527942552	2.11970581341451	39.7045719563522	5.82097481966748e-15	1.94042195613616e-12
"SPATC1|375686_calculated"	0.506806331720963	0.629310558242823	3.52101782265654	39.4096903187756	7.13485394783938e-15	2.3394133411596e-12
"SLC18A2|6571_calculated"	-1.02571169231361	0.774673179365638	3.99896861158075	39.1375953549262	8.6124306760142e-15	2.77834235404774e-12
"VSTM1|284415_calculated"	-2.61410732531208	-1.99469298825902	6.72892182572565	38.936346111643	9.90138583274725e-15	3.14345425461552e-12
"LTK|4058_calculated"	-1.83588932507359	-2.24413522103423	6.464526665549	38.7004152946597	1.16634401899563e-14	3.64500730061432e-12
"PLA2G4A|5321_calculated"	1.39033657718191	1.25486878716412	3.44981007915363	37.7437730275713	2.27303863295555e-14	6.99431472272983e-12
"BEND4|389206_calculated"	0.480372318630048	1.65993198302943	2.26757149362951	37.709854541287	2.3276709151671e-14	7.05390090519049e-12
"ANKS6|203286_calculated"	0.593296400359994	1.01833297181201	2.48438273740469	37.5971499375106	2.51892671026526e-14	7.51956016895754e-12
"DNM1|1759_calculated"	-1.80335694713438	-1.12847794560446	2.57647734770929	37.4649691452818	2.7635983482123e-14	8.12863684744034e-12
"RBFOX3|146713_calculated"	-0.883016090106561	-0.830088345534597	9.34587861445906	37.2296050189758	3.26036878275742e-14	9.4508168150625e-12
"PDAP1|11333_calculated"	0.0907857465807933	-0.355145772363043	2.9899493100233	37.0878253049984	3.60228511455789e-14	1.02927577966103e-11
"LOC441204|441204_calculated"	0.72834921984733	0.370532248105488	6.41767223571905	37.0486841266007	3.70291467274398e-14	1.04312670943032e-11
"ZNF560|147741_calculated"	-0.00421523759128014	0.496542485865898	7.24061461646693	36.9422644618453	3.99112715716276e-14	1.10870186486684e-11
"ALS2CL|259173_calculated"	-1.19849672473187	-0.84180616312295	5.67383475137803	36.3854763013064	5.91370817182496e-14	1.59843089516165e-11
"PAWR|5074_calculated"	0.565002624799988	1.64984528751253	2.19102629145843	36.3790591538103	5.94062921229313e-14	1.59843089516165e-11
"SCD|6319_calculated"	0.397585783156393	1.62378432754531	4.60556677031451	36.3664670204723	5.9938161660479e-14	1.59843089516165e-11
"CLEC5A|23601_calculated"	-2.35945058093483	-1.76508093138574	5.79185499465348	36.1972566561584	6.75707474021968e-14	1.77826647209387e-11
"PYGB|5834_calculated"	-0.500720390730716	-0.738070460481176	2.19958892047207	36.1030394483399	7.22393953795342e-14	1.87644174933255e-11
"MPP7|143098_calculated"	1.22483105919602	0.744330806195919	6.31879468638435	35.9284130860441	8.17731516189405e-14	2.0968523147826e-11
"NAV1|89796_calculated"	-1.05498001331507	0.126232112973498	2.37340502827458	35.8650813881855	8.55370725431947e-14	2.16560378219802e-11
